# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 7834943067802
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
     0.94%     0.04%  iou-wrk-3069     [kernel.vmlinux]  [k] filemap_read
     0.94%     0.00%  iou-wrk-3062     [kernel.vmlinux]  [k] io_wq_submit_work
     0.94%     0.00%  iou-wrk-3062     [kernel.vmlinux]  [k] io_issue_sqe
     0.94%     0.00%  iou-wrk-3084     [kernel.vmlinux]  [k] io_wq_submit_work
     0.94%     0.00%  iou-wrk-3077     [kernel.vmlinux]  [k] io_issue_sqe
     0.94%     0.01%  iou-wrk-3093     [kernel.vmlinux]  [k] io_issue_sqe
     0.94%     0.00%  iou-wrk-3096     [kernel.vmlinux]  [k] io_wq_submit_work
     0.94%     0.00%  iou-wrk-3083     [kernel.vmlinux]  [k] io_issue_sqe
     0.94%     0.00%  iou-wrk-3083     [kernel.vmlinux]  [k] io_wq_submit_work
     0.94%     0.00%  iou-wrk-3096     [kernel.vmlinux]  [k] io_issue_sqe
     0.94%     0.01%  iou-wrk-3084     [kernel.vmlinux]  [k] io_issue_sqe
     0.94%     0.00%  iou-wrk-3062     [kernel.vmlinux]  [k] io_read
     0.94%     0.01%  iou-wrk-3077     [kernel.vmlinux]  [k] io_read
     0.94%     0.00%  iou-wrk-3078     [kernel.vmlinux]  [k] io_issue_sqe
     0.94%     0.00%  iou-wrk-3078     [kernel.vmlinux]  [k] io_wq_submit_work
     0.94%     0.01%  iou-wrk-3083     [kernel.vmlinux]  [k] io_read
     0.93%     0.01%  iou-wrk-3096     [kernel.vmlinux]  [k] io_read
     0.93%     0.00%  iou-wrk-3078     [kernel.vmlinux]  [k] io_read
     0.93%     0.01%  iou-wrk-3066     [kernel.vmlinux]  [k] io_wq_submit_work
     0.93%     0.06%  iou-wrk-3086     [kernel.vmlinux]  [k] filemap_read
     0.93%     0.05%  iou-wrk-3068     [kernel.vmlinux]  [k] filemap_read
     0.93%     0.01%  iou-wrk-3093     [kernel.vmlinux]  [k] io_read
     0.93%     0.01%  iou-wrk-3084     [kernel.vmlinux]  [k] io_read
     0.93%     0.00%  iou-wrk-3090     [kernel.vmlinux]  [k] io_issue_sqe
     0.93%     0.00%  iou-wrk-3090     [kernel.vmlinux]  [k] io_wq_submit_work
     0.93%     0.02%  iou-wrk-3081     [kernel.vmlinux]  [k] io_worker_handle_work
     0.93%     0.02%  iou-wrk-3100     [kernel.vmlinux]  [k] filemap_read
     0.93%     0.04%  iou-wrk-3075     [kernel.vmlinux]  [k] filemap_read
     0.93%     0.11%  iou-wrk-3065     [kernel.vmlinux]  [k] filemap_read
     0.93%     0.01%  iou-wrk-3066     [kernel.vmlinux]  [k] io_issue_sqe
     0.92%     0.00%  iou-wrk-3090     [kernel.vmlinux]  [k] io_read
     0.92%     0.00%  iou-wrk-3092     [kernel.vmlinux]  [k] io_issue_sqe
     0.92%     0.00%  iou-wrk-3092     [kernel.vmlinux]  [k] io_wq_submit_work
     0.92%     0.03%  iou-wrk-3094     [kernel.vmlinux]  [k] filemap_read
     0.92%     0.01%  iou-wrk-3066     [kernel.vmlinux]  [k] io_read
     0.92%     0.01%  iou-wrk-3092     [kernel.vmlinux]  [k] io_read
     0.90%     0.00%  iou-wrk-3091     [kernel.vmlinux]  [k] io_wq_submit_work
     0.90%     0.04%  iou-wrk-3072     [kernel.vmlinux]  [k] filemap_read
     0.90%     0.00%  iou-wrk-3088     [kernel.vmlinux]  [k] io_wq_submit_work
     0.90%     0.05%  iou-wrk-3063     [kernel.vmlinux]  [k] filemap_read
