# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2379524085286
#
# Children      Self  Command          Shared Object     Symbol                                         
# ........  ........  ...............  ................  ...............................................
#
     0.69%     0.28%  iou-wrk-2958     [kernel.vmlinux]  [k] schedule_timeout
     0.69%     0.00%  iou-wrk-2979     [kernel.vmlinux]  [k] filemap_get_pages
     0.69%     0.65%  fio              [kernel.vmlinux]  [k] __update_load_avg_cfs_rq
     0.68%     0.01%  iou-wrk-2968     [kernel.vmlinux]  [k] io_issue_sqe
     0.68%     0.00%  iou-wrk-2968     [kernel.vmlinux]  [k] io_wq_submit_work
     0.68%     0.01%  iou-wrk-2975     [kernel.vmlinux]  [k] io_worker_handle_work
     0.68%     0.04%  iou-wrk-2984     [kernel.vmlinux]  [k] filemap_read
     0.68%     0.01%  iou-wrk-2970     [kernel.vmlinux]  [k] filemap_get_pages
     0.68%     0.00%  iou-wrk-2968     [kernel.vmlinux]  [k] io_read
     0.67%     0.03%  iou-wrk-2961     [kernel.vmlinux]  [k] filemap_read
     0.67%     0.01%  iou-wrk-2949     [kernel.vmlinux]  [k] schedule
     0.67%     0.02%  iou-wrk-2965     [kernel.vmlinux]  [k] io_worker_handle_work
     0.67%     0.01%  iou-wrk-2973     [kernel.vmlinux]  [k] filemap_get_pages
     0.67%     0.02%  iou-wrk-2960     [kernel.vmlinux]  [k] schedule
     0.67%     0.04%  iou-wrk-2949     [kernel.vmlinux]  [k] __schedule
     0.66%     0.03%  iou-wrk-2959     [kernel.vmlinux]  [k] filemap_read
     0.66%     0.07%  iou-wrk-2952     [kernel.vmlinux]  [k] filemap_read
     0.66%     0.02%  kswapd0          [kernel.vmlinux]  [k] xas_store
     0.66%     0.00%  iou-wrk-2972     [kernel.vmlinux]  [k] schedule
     0.66%     0.03%  iou-wrk-2960     [kernel.vmlinux]  [k] __schedule
     0.65%     0.00%  iou-wrk-2966     [kernel.vmlinux]  [k] filemap_get_pages
     0.65%     0.07%  iou-wrk-2968     [kernel.vmlinux]  [k] filemap_read
     0.65%     0.06%  iou-wrk-2976     [kernel.vmlinux]  [k] filemap_read
     0.64%     0.33%  fio              [kernel.vmlinux]  [k] psi_task_switch
     0.64%     0.00%  iou-wrk-2986     [kernel.vmlinux]  [k] io_issue_sqe
     0.64%     0.00%  iou-wrk-2986     [kernel.vmlinux]  [k] io_read
     0.64%     0.00%  iou-wrk-2986     [kernel.vmlinux]  [k] io_wq_submit_work
     0.63%     0.01%  iou-wrk-2969     [kernel.vmlinux]  [k] io_wq_submit_work
     0.63%     0.02%  iou-wrk-2978     [kernel.vmlinux]  [k] io_worker_handle_work
     0.63%     0.06%  iou-wrk-2956     [kernel.vmlinux]  [k] io_worker_handle_work
