# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 50663668354832
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.19%     0.00%  iou-wrk-3232     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.01%  iou-wrk-3231     [kernel.vmlinux]            [k] io_read
     1.19%     0.01%  iou-wrk-3230     [kernel.vmlinux]            [k] io_read
     1.19%     0.01%  iou-wrk-3238     [kernel.vmlinux]            [k] io_read
     1.19%     0.01%  iou-wrk-3222     [kernel.vmlinux]            [k] io_read
     1.19%     0.01%  iou-wrk-3232     [kernel.vmlinux]            [k] io_read
     1.18%     0.04%  iou-wrk-3260     [kernel.vmlinux]            [k] filemap_read
     1.18%     0.04%  iou-wrk-3244     [kernel.vmlinux]            [k] filemap_read
     1.18%     0.00%  iou-wrk-3237     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.04%  iou-wrk-3242     [kernel.vmlinux]            [k] filemap_read
     1.18%     0.04%  iou-wrk-3253     [kernel.vmlinux]            [k] filemap_read
     1.17%     0.00%  iou-wrk-3237     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.04%  iou-wrk-3259     [kernel.vmlinux]            [k] filemap_read
     1.17%     0.01%  iou-wrk-3237     [kernel.vmlinux]            [k] io_read
     1.17%     0.04%  iou-wrk-3233     [kernel.vmlinux]            [k] filemap_read
     1.17%     0.04%  iou-wrk-3250     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.04%  iou-wrk-3226     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.04%  iou-wrk-3255     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.04%  iou-wrk-3240     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.04%  iou-wrk-3236     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.04%  iou-wrk-3241     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.03%  iou-wrk-3234     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.04%  iou-wrk-3225     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.04%  iou-wrk-3252     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.03%  iou-wrk-3223     [kernel.vmlinux]            [k] filemap_read
