# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31979551606917
#
# Children      Self  Command          Shared Object               Symbol                                              
# ........  ........  ...............  ..........................  ....................................................
#
     2.15%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] io_issue_sqe
     2.15%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] io_read
     2.15%     0.01%  iou-wrk-3133     [kernel.vmlinux]            [k] io_worker_handle_work
     2.15%     0.00%  iou-wrk-3125     [kernel.vmlinux]            [k] io_wq_submit_work
     2.15%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] io_read
     2.14%     0.00%  iou-wrk-3125     [kernel.vmlinux]            [k] io_issue_sqe
     2.14%     0.02%  iou-wrk-3123     [kernel.vmlinux]            [k] filemap_read
     2.14%     0.00%  iou-wrk-3125     [kernel.vmlinux]            [k] io_read
     2.14%     0.01%  iou-wrk-3104     [kernel.vmlinux]            [k] io_worker_handle_work
     2.14%     0.01%  iou-wrk-3095     [kernel.vmlinux]            [k] io_worker_handle_work
     2.14%     0.02%  iou-wrk-3124     [kernel.vmlinux]            [k] filemap_read
     2.13%     0.01%  iou-wrk-3102     [kernel.vmlinux]            [k] io_worker_handle_work
     2.13%     0.02%  iou-wrk-3126     [kernel.vmlinux]            [k] filemap_read
     2.13%     0.01%  iou-wrk-3115     [kernel.vmlinux]            [k] io_worker_handle_work
     2.13%     0.00%  iou-wrk-3105     [kernel.vmlinux]            [k] io_wq_submit_work
     2.13%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] io_wq_submit_work
     2.13%     0.02%  iou-wrk-3098     [kernel.vmlinux]            [k] filemap_read
     2.13%     0.00%  iou-wrk-3105     [kernel.vmlinux]            [k] io_issue_sqe
     2.13%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] io_issue_sqe
     2.13%     0.00%  iou-wrk-3105     [kernel.vmlinux]            [k] io_read
     2.13%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] io_read
     2.13%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] io_wq_submit_work
     2.13%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] io_issue_sqe
     2.12%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] io_read
     2.12%     0.02%  iou-wrk-3101     [kernel.vmlinux]            [k] filemap_read
     2.12%     0.02%  iou-wrk-3100     [kernel.vmlinux]            [k] filemap_read
     2.12%     0.02%  iou-wrk-3091     [kernel.vmlinux]            [k] filemap_read
     2.12%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] io_wq_submit_work
     2.12%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] io_issue_sqe
     2.12%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] io_wq_submit_work
     2.12%     0.02%  iou-wrk-3112     [kernel.vmlinux]            [k] filemap_read
     2.12%     0.02%  iou-wrk-3129     [kernel.vmlinux]            [k] filemap_read
     2.12%     0.00%  iou-wrk-3122     [kernel.vmlinux]            [k] io_read
     2.12%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] io_issue_sqe
     2.12%     0.00%  iou-wrk-3111     [kernel.vmlinux]            [k] io_wq_submit_work
     2.12%     0.02%  iou-wrk-3099     [kernel.vmlinux]            [k] filemap_read
     2.12%     0.02%  iou-wrk-3119     [kernel.vmlinux]            [k] filemap_read
     2.12%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] io_wq_submit_work
     2.11%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] io_read
     2.11%     0.00%  iou-wrk-3111     [kernel.vmlinux]            [k] io_issue_sqe
     2.11%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] io_issue_sqe
     2.11%     0.00%  iou-wrk-3111     [kernel.vmlinux]            [k] io_read
     2.11%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] io_read
     2.11%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] io_wq_submit_work
     2.11%     0.02%  iou-wrk-3096     [kernel.vmlinux]            [k] filemap_read
     2.11%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] io_issue_sqe
     2.11%     0.02%  iou-wrk-3110     [kernel.vmlinux]            [k] filemap_read
     2.11%     0.01%  iou-wrk-3128     [kernel.vmlinux]            [k] io_worker_handle_work
     2.11%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] io_wq_submit_work
     2.11%     0.02%  iou-wrk-3125     [kernel.vmlinux]            [k] filemap_read
     2.11%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] io_read
     2.10%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] io_issue_sqe
     2.10%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] io_read
     2.10%     0.01%  iou-wrk-3114     [kernel.vmlinux]            [k] io_worker_handle_work
     2.10%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] io_wq_submit_work
     2.10%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] io_wq_submit_work
     2.10%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] io_issue_sqe
     2.10%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] io_issue_sqe
     2.10%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] io_wq_submit_work
     2.10%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] io_read
     2.09%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] io_issue_sqe
     2.09%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] io_read
     2.09%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] io_read
     2.09%     0.02%  iou-wrk-3093     [kernel.vmlinux]            [k] filemap_read
     2.09%     0.02%  iou-wrk-3105     [kernel.vmlinux]            [k] filemap_read
     2.09%     0.02%  iou-wrk-3121     [kernel.vmlinux]            [k] filemap_read
     2.08%     0.02%  iou-wrk-3122     [kernel.vmlinux]            [k] filemap_read
     2.08%     0.02%  iou-wrk-3111     [kernel.vmlinux]            [k] filemap_read
     2.08%     0.02%  iou-wrk-3097     [kernel.vmlinux]            [k] filemap_read
     2.08%     0.02%  iou-wrk-3103     [kernel.vmlinux]            [k] filemap_read
     2.07%     0.02%  iou-wrk-3133     [kernel.vmlinux]            [k] filemap_read
     2.07%     0.02%  iou-wrk-3104     [kernel.vmlinux]            [k] filemap_read
     2.07%     0.00%  iou-wrk-3128     [kernel.vmlinux]            [k] io_wq_submit_work
     2.07%     0.00%  iou-wrk-3128     [kernel.vmlinux]            [k] io_issue_sqe
     2.07%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] io_wq_submit_work
     2.07%     0.00%  iou-wrk-3128     [kernel.vmlinux]            [k] io_read
     2.06%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] io_issue_sqe
     2.06%     0.02%  iou-wrk-3102     [kernel.vmlinux]            [k] filemap_read
     2.06%     0.02%  iou-wrk-3115     [kernel.vmlinux]            [k] filemap_read
     2.06%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] io_read
     2.06%     0.02%  iou-wrk-3095     [kernel.vmlinux]            [k] filemap_read
     2.03%     0.02%  iou-wrk-3128     [kernel.vmlinux]            [k] filemap_read
     2.03%     0.02%  iou-wrk-3114     [kernel.vmlinux]            [k] filemap_read
     1.90%     0.02%  kswapd0          [kernel.vmlinux]            [k] _raw_spin_lock_irq
     1.90%     1.90%  kswapd0          [kernel.vmlinux]            [k] native_queued_spin_lock_slowpath
     1.86%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] filemap_get_pages
