# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31618580708647
#
# Children      Self  Command          Shared Object         Symbol                                        
# ........  ........  ...............  ....................  ..............................................
#
     1.15%     0.01%  iou-wrk-3060     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3053     [kernel.vmlinux]      [k] io_read
     1.15%     0.01%  iou-wrk-3089     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3078     [kernel.vmlinux]      [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3063     [kernel.vmlinux]      [k] io_read
     1.15%     0.00%  iou-wrk-3106     [kernel.vmlinux]      [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3105     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3105     [kernel.vmlinux]      [k] io_read
     1.14%     0.00%  iou-wrk-3078     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.01%  iou-wrk-3071     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3069     [kernel.vmlinux]      [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3078     [kernel.vmlinux]      [k] io_read
     1.14%     0.00%  iou-wrk-3106     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3076     [kernel.vmlinux]      [k] io_wqe_worker
     1.14%     0.00%  iou-wrk-3076     [kernel.vmlinux]      [k] ret_from_fork
     1.14%     0.00%  iou-wrk-3069     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3037     [kernel.vmlinux]      [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3106     [kernel.vmlinux]      [k] io_read
     1.14%     0.00%  iou-wrk-3101     [kernel.vmlinux]      [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3037     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3069     [kernel.vmlinux]      [k] io_read
     1.14%     0.01%  iou-wrk-3098     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.01%  iou-wrk-3100     [kernel.vmlinux]      [k] filemap_read
     1.14%     0.00%  iou-wrk-3037     [kernel.vmlinux]      [k] io_read
     1.14%     0.00%  iou-wrk-3101     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3034     [kernel.vmlinux]      [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3057     [kernel.vmlinux]      [k] io_wq_submit_work
     1.14%     0.01%  iou-wrk-3068     [kernel.vmlinux]      [k] filemap_read
     1.14%     0.01%  iou-wrk-3104     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3027     [kernel.vmlinux]      [k] io_wq_submit_work
     1.14%     0.01%  iou-wrk-3095     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.01%  iou-wrk-3038     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3034     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3101     [kernel.vmlinux]      [k] io_read
     1.14%     0.00%  iou-wrk-3057     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.01%  iou-wrk-3102     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3058     [kernel.vmlinux]      [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3027     [kernel.vmlinux]      [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3034     [kernel.vmlinux]      [k] io_read
