# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32050145111127
#
# Children      Self  Command          Shared Object       Symbol                                        
# ........  ........  ...............  ..................  ..............................................
#
     1.15%     0.00%  iou-wrk-3292     [kernel.vmlinux]    [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3319     [kernel.vmlinux]    [k] io_read
     1.15%     0.00%  iou-wrk-3283     [kernel.vmlinux]    [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3266     [kernel.vmlinux]    [k] io_worker_handle_work
     1.15%     0.01%  iou-wrk-3281     [kernel.vmlinux]    [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3302     [kernel.vmlinux]    [k] io_wq_submit_work
     1.15%     0.01%  iou-wrk-3287     [kernel.vmlinux]    [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3283     [kernel.vmlinux]    [k] io_read
     1.15%     0.00%  iou-wrk-3340     [kernel.vmlinux]    [k] io_wq_submit_work
     1.15%     0.01%  iou-wrk-3284     [kernel.vmlinux]    [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3274     [kernel.vmlinux]    [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3302     [kernel.vmlinux]    [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3300     [kernel.vmlinux]    [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3343     [kernel.vmlinux]    [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3340     [kernel.vmlinux]    [k] io_issue_sqe
     1.14%     0.01%  iou-wrk-3322     [kernel.vmlinux]    [k] io_worker_handle_work
     1.14%     0.01%  iou-wrk-3321     [kernel.vmlinux]    [k] io_worker_handle_work
     1.14%     0.01%  iou-wrk-3314     [kernel.vmlinux]    [k] filemap_read
     1.14%     0.00%  iou-wrk-3324     [kernel.vmlinux]    [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3272     [kernel.vmlinux]    [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3303     [kernel.vmlinux]    [k] io_wq_submit_work
     1.14%     0.01%  iou-wrk-3268     [kernel.vmlinux]    [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3304     [kernel.vmlinux]    [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3302     [kernel.vmlinux]    [k] io_read
     1.14%     0.01%  iou-wrk-3331     [kernel.vmlinux]    [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3340     [kernel.vmlinux]    [k] io_read
     1.14%     0.00%  iou-wrk-3343     [kernel.vmlinux]    [k] io_issue_sqe
     1.14%     0.01%  iou-wrk-3296     [kernel.vmlinux]    [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3300     [kernel.vmlinux]    [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3324     [kernel.vmlinux]    [k] io_issue_sqe
     1.14%     0.01%  iou-wrk-3312     [kernel.vmlinux]    [k] filemap_read
     1.14%     0.00%  iou-wrk-3343     [kernel.vmlinux]    [k] io_read
     1.14%     0.00%  iou-wrk-3303     [kernel.vmlinux]    [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3295     [kernel.vmlinux]    [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3300     [kernel.vmlinux]    [k] io_read
     1.14%     0.00%  iou-wrk-3304     [kernel.vmlinux]    [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3272     [kernel.vmlinux]    [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3324     [kernel.vmlinux]    [k] io_read
     1.14%     0.01%  iou-wrk-3335     [kernel.vmlinux]    [k] io_worker_handle_work
     1.14%     0.01%  iou-wrk-3308     [kernel.vmlinux]    [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3304     [kernel.vmlinux]    [k] io_read
     1.14%     0.00%  iou-wrk-3272     [kernel.vmlinux]    [k] io_read
     1.14%     0.01%  iou-wrk-3328     [kernel.vmlinux]    [k] filemap_read
     1.14%     0.00%  iou-wrk-3303     [kernel.vmlinux]    [k] io_read
     1.14%     0.00%  iou-wrk-3336     [kernel.vmlinux]    [k] io_worker_handle_work
