# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 721K of event 'cycles'
# Event count (approx.): 64064804027726
#
# Children      Self  Command          Shared Object       Symbol                                 
# ........  ........  ...............  ..................  .......................................
#
     0.60%     0.01%  iou-wrk-3462     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3415     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3459     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3388     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3392     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3416     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3403     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3387     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3426     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3384     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3399     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3428     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3439     [kernel.vmlinux]    [k] io_worker_handle_work
     0.60%     0.01%  iou-wrk-3396     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3408     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3466     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3449     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3432     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3420     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3458     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3442     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3425     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.53%  fio              [kernel.vmlinux]    [k] __update_load_avg_cfs_rq
     0.59%     0.01%  iou-wrk-3452     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3406     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3424     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3389     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3410     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3437     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3385     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3463     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3448     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3427     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3445     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3395     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3460     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3398     [kernel.vmlinux]    [k] io_worker_handle_work
