# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 720K of event 'cycles'
# Event count (approx.): 63497295424487
#
# Children      Self  Command          Shared Object       Symbol                                          
# ........  ........  ...............  ..................  ................................................
#
     0.58%     0.01%  iou-wrk-3195     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] io_wq_submit_work
     0.58%     0.01%  iou-wrk-3152     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] io_read
     0.58%     0.01%  iou-wrk-3208     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3205     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3184     [kernel.vmlinux]    [k] io_issue_sqe
     0.58%     0.00%  iou-wrk-3180     [kernel.vmlinux]    [k] io_wq_submit_work
     0.58%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] io_issue_sqe
     0.58%     0.01%  iou-wrk-3197     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3180     [kernel.vmlinux]    [k] io_issue_sqe
     0.58%     0.00%  iou-wrk-3187     [kernel.vmlinux]    [k] io_wq_submit_work
     0.58%     0.01%  iou-wrk-3214     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3198     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3215     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] io_wq_submit_work
     0.58%     0.01%  iou-wrk-3224     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3184     [kernel.vmlinux]    [k] io_read
     0.57%     0.01%  iou-wrk-3210     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.00%  iou-wrk-3187     [kernel.vmlinux]    [k] io_issue_sqe
     0.57%     0.01%  iou-wrk-3226     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] io_read
     0.57%     0.01%  iou-wrk-3188     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.00%  iou-wrk-3207     [kernel.vmlinux]    [k] io_wq_submit_work
     0.57%     0.00%  iou-wrk-3180     [kernel.vmlinux]    [k] io_read
     0.57%     0.52%  fio              [kernel.vmlinux]    [k] __update_load_avg_cfs_rq
     0.57%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] io_issue_sqe
     0.57%     0.00%  iou-wrk-3178     [kernel.vmlinux]    [k] io_wq_submit_work
     0.57%     0.00%  iou-wrk-3207     [kernel.vmlinux]    [k] io_issue_sqe
     0.57%     0.01%  iou-wrk-3162     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.00%  iou-wrk-3178     [kernel.vmlinux]    [k] io_issue_sqe
     0.57%     0.01%  iou-wrk-3168     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3196     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3219     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.00%  iou-wrk-3187     [kernel.vmlinux]    [k] io_read
     0.57%     0.01%  iou-wrk-3153     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3169     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] io_read
     0.57%     0.01%  iou-wrk-3172     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3176     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3220     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3182     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.00%  iou-wrk-3178     [kernel.vmlinux]    [k] io_read
     0.57%     0.00%  iou-wrk-3207     [kernel.vmlinux]    [k] io_read
     0.57%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] io_wq_submit_work
     0.57%     0.01%  iou-wrk-3160     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3194     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3159     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3227     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] io_issue_sqe
     0.57%     0.01%  iou-wrk-3171     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3212     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3211     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.00%  iou-wrk-3216     [kernel.vmlinux]    [k] io_wq_submit_work
     0.57%     0.01%  iou-wrk-3175     [kernel.vmlinux]    [k] io_worker_handle_work
