# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32981024708691
#
# Children      Self  Command          Shared Object       Symbol                                               
# ........  ........  ...............  ..................  .....................................................
#
     0.87%     0.00%  iou-wrk-3148     [kernel.vmlinux]    [k] io_wq_submit_work
     0.86%     0.01%  iou-wrk-3156     [kernel.vmlinux]    [k] io_issue_sqe
     0.86%     0.01%  iou-wrk-3148     [kernel.vmlinux]    [k] io_issue_sqe
     0.86%     0.05%  kswapd0          [kernel.vmlinux]    [k] shrink_page_list
     0.86%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] io_wq_submit_work
     0.86%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] io_wq_submit_work
     0.86%     0.01%  iou-wrk-3156     [kernel.vmlinux]    [k] io_read
     0.86%     0.00%  iou-wrk-3143     [kernel.vmlinux]    [k] io_issue_sqe
     0.86%     0.01%  iou-wrk-3148     [kernel.vmlinux]    [k] io_read
     0.86%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] io_issue_sqe
     0.86%     0.05%  iou-wrk-3141     [kernel.vmlinux]    [k] filemap_read
     0.85%     0.01%  iou-wrk-3143     [kernel.vmlinux]    [k] io_read
     0.85%     0.01%  iou-wrk-3165     [kernel.vmlinux]    [k] io_read
     0.85%     0.00%  iou-wrk-3155     [kernel.vmlinux]    [k] io_wq_submit_work
     0.85%     0.05%  iou-wrk-3171     [kernel.vmlinux]    [k] filemap_read
     0.85%     0.01%  iou-wrk-3155     [kernel.vmlinux]    [k] io_issue_sqe
     0.85%     0.05%  iou-wrk-3163     [kernel.vmlinux]    [k] filemap_read
     0.85%     0.05%  iou-wrk-3149     [kernel.vmlinux]    [k] filemap_read
     0.85%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] io_wq_submit_work
     0.84%     0.05%  iou-wrk-3170     [kernel.vmlinux]    [k] filemap_read
     0.84%     0.05%  iou-wrk-3172     [kernel.vmlinux]    [k] filemap_read
     0.84%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] io_issue_sqe
     0.84%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] io_wq_submit_work
     0.84%     0.01%  iou-wrk-3155     [kernel.vmlinux]    [k] io_read
     0.84%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] io_wq_submit_work
     0.84%     0.05%  iou-wrk-3160     [kernel.vmlinux]    [k] filemap_read
     0.84%     0.00%  iou-wrk-3150     [kernel.vmlinux]    [k] io_issue_sqe
     0.84%     0.01%  iou-wrk-3153     [kernel.vmlinux]    [k] io_issue_sqe
     0.84%     0.01%  iou-wrk-3167     [kernel.vmlinux]    [k] io_read
     0.84%     0.04%  iou-wrk-3168     [kernel.vmlinux]    [k] filemap_read
     0.84%     0.01%  iou-wrk-3150     [kernel.vmlinux]    [k] io_read
     0.83%     0.01%  iou-wrk-3153     [kernel.vmlinux]    [k] io_read
     0.83%     0.05%  iou-wrk-3164     [kernel.vmlinux]    [k] filemap_read
     0.83%     0.00%  iou-wrk-3174     [kernel.vmlinux]    [k] io_wq_submit_work
     0.83%     0.05%  iou-wrk-3152     [kernel.vmlinux]    [k] filemap_read
     0.83%     0.01%  iou-wrk-3174     [kernel.vmlinux]    [k] io_issue_sqe
     0.83%     0.04%  iou-wrk-3161     [kernel.vmlinux]    [k] filemap_read
     0.83%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] io_wq_submit_work
     0.82%     0.05%  iou-wrk-3157     [kernel.vmlinux]    [k] filemap_read
     0.82%     0.01%  iou-wrk-3174     [kernel.vmlinux]    [k] io_read
     0.82%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] io_issue_sqe
