# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 50691462906819
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.11%     0.00%  iou-wrk-2974     [kernel.vmlinux]            [k] io_wq_submit_work
     1.11%     0.04%  iou-wrk-2981     [kernel.vmlinux]            [k] filemap_read
     1.11%     0.00%  iou-wrk-2974     [kernel.vmlinux]            [k] io_issue_sqe
     1.11%     0.04%  iou-wrk-2960     [kernel.vmlinux]            [k] filemap_read
     1.11%     0.00%  iou-wrk-2988     [kernel.vmlinux]            [k] io_wq_submit_work
     1.11%     0.04%  iou-wrk-2976     [kernel.vmlinux]            [k] filemap_read
     1.11%     0.04%  iou-wrk-2967     [kernel.vmlinux]            [k] filemap_read
     1.11%     0.01%  iou-wrk-2988     [kernel.vmlinux]            [k] io_issue_sqe
     1.10%     0.04%  iou-wrk-2972     [kernel.vmlinux]            [k] filemap_read
     1.10%     0.01%  iou-wrk-2974     [kernel.vmlinux]            [k] io_read
     1.10%     0.04%  iou-wrk-2962     [kernel.vmlinux]            [k] filemap_read
     1.10%     0.01%  iou-wrk-2988     [kernel.vmlinux]            [k] io_read
     1.10%     0.04%  iou-wrk-2977     [kernel.vmlinux]            [k] filemap_read
     1.10%     0.04%  iou-wrk-2959     [kernel.vmlinux]            [k] filemap_read
     1.10%     0.04%  iou-wrk-2971     [kernel.vmlinux]            [k] filemap_read
     1.09%     0.04%  iou-wrk-2956     [kernel.vmlinux]            [k] filemap_read
     1.08%     0.04%  iou-wrk-2957     [kernel.vmlinux]            [k] filemap_read
     1.08%     0.03%  iou-wrk-2970     [kernel.vmlinux]            [k] filemap_read
     1.08%     0.04%  iou-wrk-2964     [kernel.vmlinux]            [k] filemap_read
     1.08%     0.04%  iou-wrk-2969     [kernel.vmlinux]            [k] filemap_read
     1.08%     0.04%  iou-wrk-2982     [kernel.vmlinux]            [k] filemap_read
     1.08%     0.04%  iou-wrk-2995     [kernel.vmlinux]            [k] filemap_read
     1.07%     0.04%  iou-wrk-2991     [kernel.vmlinux]            [k] filemap_read
     1.07%     0.04%  iou-wrk-2968     [kernel.vmlinux]            [k] filemap_read
     1.07%     0.04%  iou-wrk-2979     [kernel.vmlinux]            [k] filemap_read
     1.07%     0.04%  iou-wrk-2989     [kernel.vmlinux]            [k] filemap_read
